steam_name,country_iso2,frequency
Suspicious Developments,,3
SUPERHOT Team,,3
Sumo Digital,GB,3
Stunlock Studios,SE,3
Spearhead Games,CA,3
Spark Unlimited,US,3
SNK CORPORATION,,3
SMG Studio,,3
Slightly Mad Studios,GB,3
Sleepy Duck,,3
SkyGoblin,,3
Size Five Games,,3
Sierra On-Line,US,3
Rusty Lake,,3
Runic Games,,3
Ronimo Games,,3
Roll7,GB,3
Robot Gentleman,PL,3
Reverie World Studios,,3
Red Thread Games,NO,3
Red Storm Entertainment,US,3
Q-Games Ltd.,,3
PopTop,,3
Playful Corp.,,3
PiGravity,,3
Passtech Games,FR,3
Outerlight Ltd.,,3
Orange_Juice,,3
One More Level,PL,3
Noio,,3
Nixxes,,3
Nitro Games,,3
"Nicalis, Inc.",,3
Mossmouth,,3
MicroProse Software,,3
MercurySteam,ES,3
Mediatonic,GB,3
"Massive Damage, Inc.",,3
Little Orbit,US,3
Labyrinthine,,3
Krillbite Studio,NO,3
Kheops Studio,,3
KAIKO,DE,3
Jordan Freeman Group,,3
Jesse Makkonen,,3
Ishtar Games,,3
Ion Storm,US,3
Io-Interactive A/S,,3
IO Interactive,DK,3
Instinct Games,EG,3
Ino-Co Plus,,3
Impressions Games,,3
Image & Form Games,,3
Ice-Pick Lodge,RU,3
Hidden Path Entertainment,US,3
Hello Games,GB,3
Hasoyua,,3
Hangar 13,US,3
Grace Bruxner,,3
Games Farm,SK,3
FuturLab,GB,3
Frictional Games,SE,3
Flying Wild Hog,PL,3
Feral Interactive (Mac/Linux),GB,3
Feral Interactive,GB,3
Elephant Games,RU,3
Drinkbox Studios,CA,3
Double Eleven,GB,3
Dotemu,FR,3
Deep Silver Volition,US,3
Dead Mage,,3
Dancing Dragon Games,US,3
D-Pad Studio,,3
"Cygames, Inc.",,3
Curve Studios,,3
Crytek Studios,,3
Crew Lab,,3
Colossal Order,FI,3
Clymenia,,3
Climax Studios,GB,3
Circle Poison,,3
Circle Fairy Flower,,3
CINEMAX GAMES,,3
"CAPCOM CO., LTD",,3
Byzantine Games,,3
Bugbear Entertainment,FI,3
Broken Rules,AT,3
Bossa Studios,GB,3
Boss Baddie,,3
Blue Byte,DE,3
Bloober Team SA,PL,3
Black Train,,3
Black Pants Studio,DE,3
Belgerum,,3
BananaKing,,3
Back To Basics Gaming,,3
AVANTGARDE,,3
attic Entertainment Software GmbH,,3
Asobo Studio,FR,3
Asakiyumemishi,,3
Arcen Games,,3
AQUAPLUS,,3
Anshar Studios,PL,3
Alientrap,CA,3
2K Marin,,3
ZOV GAME STUDIO,CH,2
Zootfly,,2
Zombie Studios,US,2
Zetsubou,,2
Zen Studios,,2
Zeboyd Games,,2
Zeboyd Digital Entertainment LLC,,2
Yumenamakon,,2
Xaviant,US,2
