name,country_iso2,region,locality
dream make,UA,,
buck eejit games,GB,belfast,belfast
octa edge technologies private limited,PK,punjab,sargodha
dreamline entertainment doo novi sad,RS,vojvodina,novi sad
glob studio,BR,sao paulo,
neronian studios,CZ,praha,prague
moonspire games,CA,british columbia,vancouver
think dome studio,PK,punjab,lahore
snappy gurus,GB,,
metarama,KR,gyeonggi-do,
fanny pack studios sa,AR,entre rios,federal
aristas studios,CO,antioquia,medellin
horda yazılım,TR,ankara,çankaya
saltitude studio,FR,occitanie,toulouse
tydwave interactive,PT,leiria,
lightsouls dao,GB,england,london
komorebi fiction,ES,a coruña,ferrol
influencerapps,CH,zug,baar
kujira productions,TR,istanbul,
plant based audio,US,washington,seattle
zorive,PK,punjab,lahore
artemi,RS,central serbia,belgrade
ghoul school,NL,noord-holland,amsterdam
dynamite studios gmbh,DE,lower saxony,hollenstedt
rewardezzy,MY,kuala lumpur,
buildersbrew,GB,northamptonshire,northampton
evrgaming,IL,tel aviv,
gain power,SE,dalarna,falun
rubens games,PL,wielkopolskie,poznan
setty,PL,slaskie,katowice
coatsi chess,GB,saintrling,
gamesnext,IT,veneto,treviso
moonshot art ltd.,CA,british columbia,vancouver
codebusters studio,PL,mazowieckie,warsaw
ster studio,GB,greater london,london
magiccryptonft,IR,east azerbaijan,tabriz
virtuos kuala lumpur,MY,kuala lumpur,
konsole game labs,DE,berlin,
exon game studios,TR,istanbul,
morning crescent,KW,,
rubik games,TR,istanbul,
collabout,ES,catalonia,barcelona
good game generation (gggen),ES,catalonia,barcelona
studio prima,FR,ile-de-france,chatillon
phantom gamelabs,FI,uusimaa,helsinki
antik game workshop,TR,istanbul,
izibola tecnologia esportiva,BR,santa catarina,florianópolis
search for animera,AE,dubai,
artilogics game studio girona,ES,,
saphire game studio,BR,,
sefiny,US,florida,jacksonville
crypsendo,SG,central singapore,singapore
overmind game studios,CZ,praha,prague
cottage club,FR,pays de la loire,laval
game motion,ES,balearic islands,palma
sprocket games,US,california,santa monica
gg-ally,IT,campania,naples
replic8,GB,greater london,london
project rolescape,US,connecticut,derby
fenix games,AE,dubai,
neon production jsc,VN,ha noi,hanoi
teaate,NZ,wellington,
mogo games,LK,western,colombo
tinytech studio pvt ltd,IN,haryana,
lair,US,new york,
mvp guild,SG,central singapore,singapore
darkcrest studios llc,US,pennsylvania,camp hill
house of lords,KW,al asimah,kuwait city
zerox game studios,BR,amazonas,manaus
jinnius,RS,central serbia,belgrade
loomio,FR,ile-de-france,paris
gēmuarīna,PK,punjab,lahore
black cat studios,TR,i̇zmir,
village studio games,GB,greater london,london
all out gaming experience,US,georgia,jonesboro
warriors team latam,PE,lima,lima
sekuya,ID,jakarta,
pondering pixel,CA,british columbia,burnaby
moonflower,US,washington,seattle
the farmers studio,ID,jawa timur,malang
rido,LV,riga,
tiger games,VN,,thanh xuan
bxld space 🔺,GB,swansea,southgate
dream eater interactive,PL,lower silesia,oleśnica
studio nefce,GB,leeds,leeds
oisoi studio,BE,,
eddify,GB,greater london,london
lone wolf studio,IN,chhattisgarh,bhilai
sportbase,NL,noord-holland,amsterdam
pt. arsamadha mitra indonesia,ID,jawa timur,jombang
playcidity ltd,CY,limassol,
axhorn games,TR,ankara,ankara
redearth entertainment,TR,istanbul,
gemaverse,IN,gujarat,ahmadabad
iron fox games,CA,prince edward island,charlottetown
gamix,RU,,
anklebreaker studio,FR,ile-de-france,paris
shadow entertainment,AU,,
aim mgit,IN,telangana,hyderabad
glory games worlds,SG,central singapore,singapore
moral entertainment,US,new york,
the km games,AZ,baki,baku
exonium lab sas,CO,santander,
nearspace studio,CY,larnaca,kalavaso
game division,PK,punjab,lahore
raccoon planet,PL,lower silesia,wrocław
unav esports,ES,navarre,pamplona
b7 team,ES,catalonia,barcelona
studio araki,GE,t'bilisi,
metastream™,US,delaware,wilmington
espn+,US,california,los angeles
eria everbright,AE,dubai,al sufouh
altern games,ID,jakarta,jakarta
whizzy ants digital,IN,karnataka,bengaluru
llte studio,FR,ile-de-france,evry
eaglezgg,AE,dubai,
"sword & wand,swordandwand.com, inc",remote
elixir gamelabs pvt. ltd.,IN,maharashtra,mumbai
eladrea,UA,odessa,odessa
fairer games,GB,norfolk,norwich
oggangs,IN,delhi,delhi
mindeck games,TR,istanbul,
kibe software house,IT,lombardia,milan
twenty-four studio,US,ohio,medina
qloud games,AU,new south wales,sydney
mergeunit.,GE,t'bilisi,
runai,SG,central singapore,singapore
arcane games,TR,ankara,
superwolf game studio,TR,malatya,battalgazi
cloudberry studio,TR,i̇zmir,
game you,FR,auvergne-rhône-alpes,lyon
