"Arrowhead Game Studios","4"
"34BigThings srl","4"
"343 Industries","4"
"07th Expansion","4"
"ZOOM Platform Media","3"
"WayForward","3"
"ViNovella Games","3"
"Unicorn Games Studio","3"
"Undead Labs","3"
"Tribute Games Inc.","3"
"Toxic Games","3"
"Toge Productions","3"
"Tin Man Games","3"
"Timegate","3"
"Tilted Mill Entertainment, Inc.","3"
"The Lordz Games Studio","3"
"The Behemoth","3"
"Terry Cavanagh","3"
"Tequila Works","3"
"Tate Multimedia","3"
"Targem Games","3"
"Tantalus Media","3"
"TaleWorlds Entertainment","3"
"Swing Swing Submarine","3"
"Suspicious Developments","3"
"SUPERHOT Team","3"
"Sumo Digital","3"
"Stunlock Studios","3"
"Spearhead Games","3"
"Spark Unlimited","3"
"SNK CORPORATION","3"
"SMG Studio","3"
"Slightly Mad Studios","3"
"Sleepy Duck","3"
"SkyGoblin","3"
"Size Five Games","3"
"Sierra On-Line","3"
"Rusty Lake","3"
"Runic Games","3"
"Ronimo Games","3"
"Roll7","3"
"Robot Gentleman","3"
"Reverie World Studios","3"
"Red Thread Games","3"
"Red Storm Entertainment","3"
"Q-Games Ltd.","3"
"PopTop","3"
"Playful Corp.","3"
"PiGravity","3"
"Passtech Games","3"
"Outerlight Ltd.","3"
"Orange_Juice","3"
"One More Level","3"
"Noio","3"
"Nixxes","3"
"Nitro Games","3"
"Nicalis, Inc.","3"
"Mossmouth","3"
"MicroProse Software","3"
"MercurySteam","3"
"Mediatonic","3"
"Massive Damage, Inc.","3"
"Little Orbit","3"
"Labyrinthine","3"
"Krillbite Studio","3"
"Kheops Studio","3"
"KAIKO","3"
"Jordan Freeman Group","3"
"Jesse Makkonen","3"
"Ishtar Games","3"
"Ion Storm","3"
"Io-Interactive A/S","3"
"IO Interactive","3"
"Instinct Games","3"
"Ino-Co Plus","3"
"Impressions Games","3"
"Image & Form Games","3"
"Ice-Pick Lodge","3"
"Hidden Path Entertainment","3"
"Hello Games","3"
"Hasoyua","3"
"Hangar 13","3"
"Grace Bruxner","3"
"Games Farm","3"
"FuturLab","3"
"Frictional Games","3"
"Flying Wild Hog","3"
"Feral Interactive (Mac/Linux)","3"
"Feral Interactive","3"
"Elephant Games","3"
"Drinkbox Studios","3"
"Double Eleven","3"
"Dotemu","3"
"Deep Silver Volition","3"
"Dead Mage","3"
"Dancing Dragon Games","3"
"D-Pad Studio","3"
"Cygames, Inc.","3"
"Curve Studios","3"
"Crytek Studios","3"
"Crew Lab","3"
"Colossal Order","3"
"Clymenia","3"
"Climax Studios","3"
"Circle Poison","3"
"Circle Fairy Flower","3"
"CINEMAX GAMES","3"
"CAPCOM CO., LTD","3"
"Byzantine Games","3"
"Bugbear Entertainment","3"
"Broken Rules","3"
"Bossa Studios","3"
"Boss Baddie","3"
"Blue Byte","3"
"Bloober Team SA","3"
"Black Train","3"
"Black Pants Studio","3"
"Belgerum","3"
"BananaKing","3"
"Back To Basics Gaming","3"
"AVANTGARDE","3"
"attic Entertainment Software GmbH","3"
"Asobo Studio","3"
"Asakiyumemishi","3"
"Arcen Games","3"
"AQUAPLUS","3"
"Anshar Studios","3"
"Alientrap","3"
"2K Marin","3"
"ZOV GAME STUDIO","2"
"Zootfly","2"
"Zombie Studios","2"
"Zetsubou","2"
"Zen Studios","2"
"Zeboyd Games","2"
"Zeboyd Digital Entertainment LLC","2"
"Yumenamakon","2"
"Xaviant","2"
"Wolfire Games","2"
"Wishes Ultd.","2"
"WildTangent","2"
"Warhorse Studios","2"
"Vostok Games","2"
"Vertigo Gaming Inc.","2"
"Vega Castañeda","2"
"Vanguard Games","2"
"United Independent Entertainment","2"
"United Front Games","2"
"Undergrad Steve","2"
"Ubisoft Toronto","2"
"Ubisoft Quebec","2"
"Ubisoft Paris","2"
"Ubisoft Bucharest","2"
"Ubisoft  Shanghaï","2"
"U-ROOM","2"
"Tyler Glaiel","2"
"Ty Taylor","2"
"Twisted Pixel Games","2"
"Turtle Rock Studios","2"
"Turquoise Revival Games","2"
"Troika Games","2"
"Triskell Interactive","2"
"Trilobyte Games","2"
"TreeFortress Games","2"
"Transhuman Design","2"
"Tomorrow Corporation","2"
"Tiger Style","2"
"Thunder Lotus","2"
"Thorne Games","2"
"The Game Bakers","2"
"The Farm 51","2"
"THE BROTHERHOOD","2"
"The Binary Mill","2"
"The Astronauts","2"
"The Artistocrats","2"
"Terrible Posture Games","2"
"Terri Vellmann","2"
"Terminal Reality","2"
"Tennen-sozai","2"
"Team Jolly Roger","2"
"Team Cherry","2"
"Tango Gameworks","2"
"Syun-kan Flowlighter","2"
"Subsoap","2"
"Subset Games","2"
"Subatomic Studios LLC","2"
"Studio Wildcard","2"
"Studio Pixel","2"
"Studio II","2"
"Strategy First","2"
"Strange Loop Games","2"
"Stranga Games","2"
"Stoic","2"
"State of Play","2"
"Square Enix Montréal","2"
"Spooky Doorway","2"
"Space Cat Studios","2"
"Soul Catapult","2"
"Sos Sosowski","2"
"Sokpop Collective","2"
"SnowFlame","2"
"Snowbird Games","2"
"Snapshot Games Inc.","2"
"Snail Games USA","2"
"SmallSqurriel","2"
"Slipgate Ironworks™","2"
"SkyBox Labs","2"
"SimTex","2"
"Simogo","2"
"Shimobashira Workshop","2"
"Serenity Forge","2"
"Sekerin Productions","2"
"Secret Labo","2"
"Secret Garden","2"
"Sean Young","2"
"Scavengers Studio","2"
"Santa Ragione","2"
"Runner Duck","2"
"RosePortal Games","2"
"Rogue Factor","2"
"Rogue Entertainment","2"
"Rodeo Games","2"
"ROCKFISH Games","2"
"Robert Briscoe","2"
"RLR Training Inc","2"
"Respawn Entertainment","2"
"Remtairy","2"
"Reflections, a Ubisoft Studio","2"
"Red Dot Games","2"
"Red Barrels","2"
"Rain Games","2"
"Radon Labs","2"
"Radical Entertainment","2"
"Radial Games Corp","2"
"Psytec Games Ltd","2"
"ProjectMoon","2"
"Popcannibal","2"
"Polyslash","2"
"Pocketwatch Games","2"
"Pocketpair","2"
"PlayWay S.A.","2"
"Playdead","2"
"Pivotal Games","2"
"Pinokl Games","2"
"People Can Fly","2"
"Paul Cuisset","2"
"PanicBarn","2"
"Panda Indie Studio","2"
"OVERKILL - a Starbreeze Studio.","2"
"Over the Top Games","2"
"Other Ocean Interactive","2"
"Ota Guchi Field","2"
"OSome Studio","2"
"Osmotic Studios","2"
"Offworld","2"
"Numantian Games","2"
"NukGames","2"
"NOVECT","2"
"Nomad Games","2"
"Nival","2"
"Ninja Kiwi","2"
"Night School Studio","2"
"New World Interactive","2"
"Nerial","2"
"NEKO WORKs","2"
"Neko Entertainment","2"
"Narko Games","2"
"Naked Sky Entertainment","2"
"N-Fusion Interactive","2"
"MPS Labs","2"
"Movie Games Lunarium","2"
"Mousechief","2"
"Monolith Productions","2"
"Monolith","2"
"Monkey Moon","2"
"moi rai games","2"
"Mohawk Games","2"
"Misfits Attic","2"
"Mint Age Studios","2"
"Mimimi Games","2"
"Mihai Morosanu","2"
"Mighty Rabbit Studios","2"
"MicroProse Software, Inc.","2"
"Microblast Games","2"
"Messhof","2"
"MC2","2"
"Mazen Games","2"
"Maxis™","2"
"Maxis","2"
"Massive Monster","2"
"Massive Entertainment","2"
"Malfador Machinations","2"
"Madmind Studio","2"
"Maddy Makes Games Inc.","2"
"Ludosity","2"
"Lucas Pope","2"
"Lovely Pretty Ultra Loving You","2"
"LKA","2"
"Liquid Entertainment","2"
"Lionhead Studios","2"
"Le Cartel Studio","2"
"Lavaflame2","2"
"L7team","2"
"Kyle Seeley","2"
"Kverta","2"
"KOJIMA PRODUCTIONS","2"
"Kingdom Games","2"
"Katauri Interactive","2"
"Kaos Studios","2"
"kamichichi","2"
"Juvty Worlds","2"
"JCKSLAP","2"
"Iridium Studios","2"
"InterWave Studios","2"
"Insomniac Games","2"
"inkle Ltd","2"
"Infinity Plus 2","2"
"Infinite Interactive","2"
"increpare games","2"
"IMGN.PRO","2"
"IllFonic","2"
"Ian Campbell","2"
"hyperboreanGames","2"
"Housemarque","2"
"High Moon Studios","2"
"Hi-Rez Studios","2"
"Heart Machine","2"
"Hazelight Studios","2"
"Grip Digital","2"
"Grinding Gear Games","2"
"Grimlore Games","2"
"Greg Lobanov","2"
"Gray Matter Studios","2"
"GRASSHOPPER MANUFACTURE INC.","2"
"Goblinz Studio","2"
"Glass Bottom Games","2"
"Giants Software","2"
"GhostShark","2"
"Ghost Town Games Ltd.","2"
"gamigo US Inc.","2"
"Gaijin Entertainment","2"
"FYQD-Studio","2"
"Fullbright","2"
"Frontier","2"
"Frogames","2"
"Freejam","2"
"Freehold Games","2"
"Freebird Games","2"
"Free Reign Entertainment","2"
"Fredaikis AB","2"
"Four Quarters","2"
"Four Circle Interactive","2"
"Flynn's Arcade","2"
"Flying Oak Games","2"
"Flow Fire Games","2"
"Flashback Games","2"
"Flaming Fowl Studios","2"
"Fishing Cactus","2"
"Fireproof Games","2"
"Fictiorama Studios","2"
"Facepunch Studios","2"
"Extremely OK Games, Ltd.","2"
"Entertainment Forge","2"
"Enokippu","2"
"Enitvare","2"
"Endnight Games Ltd","2"
